7.58	5
21.23	25
12.32	7
23.75	39
18.51	16
21.65	35
18.96	8
33.35	28
10.58	9
27.06	31
10.02	18
29.42	26
5.21	20
34.13	38
14.88	14
36.63	28
12.86	15
36.23	32
3.75	6
36.51	24
14.36	9
21.96	31
2.44	8
36.3	33
9.87	15
20.97	32
13.82	16
35.84	37
6.18	19
37.42	31
11.61	20
23.12	28
16.76	2
39.55	27
11.48	18
25.76	32
11.81	2
38.65	33
19.5	17
30.25	30
19.94	18
21.4	32
3.87	3
32.88	40
14.32	19
39.39	32
18.9	0
21.68	38
17.48	16
37.08	36
15.37	1
27.01	37
16.81	8
25.08	23
7.82	7
39.11	32
17.98	5
35.39	27
19.55	8
26.47	33
0.46	12
29.75	25
9.31	1
31.71	22
1.83	3
29.36	23
17.67	13
24.27	20
17.49	8
34.28	39
19.62	9
31.49	26
4.68	0
39.56	28
10.62	16
28.67	25
14.98	2
34.57	33
18.42	5
27.42	35
14.47	5
20.2	21
2.09	2
28.72	31
15.82	1
38.9	28
4.38	14
28.4	31
5.81	7
25.54	27
11.82	14
34.12	34
6.03	14
20.22	35
5.1	12
28.32	28
8.7	6
28.66	35
6.08	5
25.45	28
6.02	0
30.72	30
19.15	17
36.29	37
4.89	14
39.96	27
6.59	4
38.16	37
1.24	16
35.91	31
15.03	5
26.89	29
4.44	19
24.45	20
8.42	3
20.8	32
1.51	6
21.12	34
0.78	17
30.49	34
7.61	0
26.92	39
9.1	7
21.44	28
10.83	7
35.47	38
0.67	18
26.96	27
7.5	1
39.53	30
4.27	7
32.77	32
3.77	3
38.88	33
19.93	4
23.77	27
11.57	13
26.73	22
3.31	10
38.61	20
3.54	0
23.2	28
5.55	5
39.54	27
11.45	0
30.36	38
3.91	16
24.67	21
13.21	14
30.27	25
5.75	4
20.47	24
17.31	19
39.39	33
19.91	19
25.01	34
3.19	11
37.07	36
14.52	18
31.28	25
16.21	1
32.89	22
5.22	13
29.13	22
0.08	19
22.3	27
13.88	6
27.76	21
19.67	19
23.87	39
12.8	0
32.59	35
18.03	2
33.54	37
2.35	0
20.49	26
15.04	3
30.95	32
13.81	8
26.99	28
18.41	15
27.57	31
2.33	11
20.71	40
1.81	7
34.77	35
18.61	4
31.58	27
16.16	6
34.81	20
10.02	17
34.78	29
2.21	9
37.58	28
15.23	13
24.75	39
9.23	0
34.33	37
2.07	17
33.86	25
